Left;Right;Objective;Time
904;10;9040;34,656000
233;2;466;0,262000
343;1;343;455,802000
301;1;301;412,713000
279;1;279;3,711000
4;276;1104;14,869000
89;1;89;20,647000
245;1;245;0,150000
289;2;578;1,171000
42;1;42;0,215000
1;73;73;1,408000
14;1;14;0,151000
28;1;28;0,081000
323;35;11305;6,176000
66;9;594;286,211000
