Left;Right;Objective;Time
904;10;9040;10,279000
233;2;466;0,496000
343;1;343;126,710000
301;1;301;195,752000
279;1;279;3,317000
4;276;1104;4,368000
89;1;89;22,599000
245;1;245;0,249000
289;2;578;1,558000
42;1;42;0,399000
1;73;73;0,690000
14;1;14;0,058000
28;1;28;0,041000
323;35;11305;1,529000
66;9;594;85,386000
